Freq.;Voutdb;Voutrad
1.63681652142779e+00;1.27785288977017e-06;-1.27456242720648e-03
1.64058977319952e+00;1.28375118627766e-06;-1.27750062544478e-03
1.64437172321491e+00;1.28967671152745e-06;-1.28044559712625e-03
1.64816239152549e+00;1.29562958509608e-06;-1.28339735786691e-03
1.65196179822900e+00;1.30160993427468e-06;-1.28635592331830e-03
1.65576996346951e+00;1.30761789021172e-06;-1.28932130916865e-03
1.65958690743754e+00;1.31365357634103e-06;-1.29229353114145e-03
1.66341265037015e+00;1.31971712381109e-06;-1.29527260499743e-03
1.66724721255104e+00;1.32580865798437e-06;-1.29825854653321e-03
1.67109061431069e+00;1.33192831000934e-06;-1.30125137158147e-03
1.67494287602642e+00;1.33807620910580e-06;-1.30425109601212e-03
1.67880401812254e+00;1.34425248256489e-06;-1.30725773573119e-03
1.68267406107045e+00;1.35045726732103e-06;-1.31027130668169e-03
1.68655302538872e+00;1.35669069066537e-06;-1.31329182484292e-03
1.69044093164324e+00;1.36295288567502e-06;-1.31631930623168e-03
1.69433780044731e+00;1.36924398542707e-06;-1.31935376690096e-03
1.69824365246172e+00;1.37556412492729e-06;-1.32239522294142e-03
1.70215850839493e+00;1.38191343532414e-06;-1.32544369048058e-03
1.70608238900310e+00;1.38829205355203e-06;-1.32849918568290e-03
1.71001531509027e+00;1.39470011654537e-06;-1.33156172475060e-03
1.71395730750840e+00;1.40113775545261e-06;-1.33463132392277e-03
1.71790838715757e+00;1.40760511106547e-06;-1.33770799947644e-03
1.72186857498599e+00;1.41410231646106e-06;-1.34079176772564e-03
1.72583789199018e+00;1.42062951243109e-06;-1.34388264502248e-03
1.72981635921508e+00;1.42718683205267e-06;-1.34698064775642e-03
1.73380399775412e+00;1.43377442576078e-06;-1.35008579235506e-03
1.73780082874935e+00;1.44039242470388e-06;-1.35319809528362e-03
1.74180687339159e+00;1.44704096967367e-06;-1.35631757304546e-03
1.74582215292048e+00;1.45372020339054e-06;-1.35944424218159e-03
1.74984668862464e+00;1.46043026471753e-06;-1.36257811927172e-03
1.75388050184174e+00;1.46717130216100e-06;-1.36571922093342e-03
1.75792361395867e+00;1.47394345072667e-06;-1.36886756382303e-03
1.76197604641161e+00;1.48074686084955e-06;-1.37202316463461e-03
1.76603782068614e+00;1.48758167332134e-06;-1.37518604010129e-03
1.77010895831740e+00;1.49444803471972e-06;-1.37835620699424e-03
1.77418948089014e+00;1.50134608776506e-06;-1.38153368212402e-03
1.77827941003890e+00;1.50827598482099e-06;-1.38471848233943e-03
1.78237876744807e+00;1.51523786475057e-06;-1.38791062452814e-03
1.78648757485203e+00;1.52223187991743e-06;-1.39111012561720e-03
1.79060585403527e+00;1.52925817882790e-06;-1.39431700257198e-03
1.79473362683250e+00;1.53631690805965e-06;-1.39753127239776e-03
1.79887091512876e+00;1.54340821804766e-06;-1.40075295213833e-03
1.80301774085955e+00;1.55053226694152e-06;-1.40398205887708e-03
1.80717412601090e+00;1.55768919167564e-06;-1.40721860973713e-03
1.81134009261958e+00;1.56487915232826e-06;-1.41046262188058e-03
1.81551566277311e+00;1.57210230126300e-06;-1.41371411250917e-03
1.81970085860996e+00;1.57935879084351e-06;-1.41697309886450e-03
1.82389570231961e+00;1.58664877536206e-06;-1.42023959822785e-03
1.82810021614272e+00;1.59397240911093e-06;-1.42351362792061e-03
