time;V(in);V(n);V(n.p);V(p)
2.360463966166542e-05;2.279072e+00;3.639651e+00;2.279582e+00;1.360070e+00
2.425349170583273e-05;2.149302e+00;3.574756e+00;2.149817e+00;1.424938e+00
2.490234375000004e-05;2.019531e+00;3.509858e+00;2.020054e+00;1.489804e+00
2.500000000000004e-05;2.000000e+00;3.500091e+00;2.000524e+00;1.499568e+00
2.500028170073399e-05;2.000056e+00;3.500063e+00;2.000465e+00;1.499598e+00
2.500084510220190e-05;2.000169e+00;3.500008e+00;2.000347e+00;1.499660e+00
2.500197190513771e-05;2.000394e+00;3.499899e+00;2.000115e+00;1.499784e+00
2.500360618205499e-05;2.000721e+00;3.499755e+00;1.999804e+00;1.499951e+00
2.500552403926854e-05;2.001105e+00;3.499618e+00;1.999503e+00;1.500115e+00
2.500762546019612e-05;2.001525e+00;3.499529e+00;1.999297e+00;1.500232e+00
2.501003538950032e-05;2.002007e+00;3.499521e+00;1.999249e+00;1.500272e+00
2.501251642409712e-05;2.002503e+00;3.499629e+00;1.999433e+00;1.500195e+00
2.501576595303398e-05;2.003153e+00;3.499925e+00;1.999989e+00;1.499937e+00
2.501978004755303e-05;2.003956e+00;3.500445e+00;2.000987e+00;1.499458e+00
2.502380162018337e-05;2.004760e+00;3.501053e+00;2.002169e+00;1.498884e+00
2.503168507834691e-05;2.006337e+00;3.502223e+00;2.004469e+00;1.497754e+00
2.503615902785975e-05;2.007232e+00;3.502793e+00;2.005598e+00;1.497195e+00
2.504080774611788e-05;2.008162e+00;3.503320e+00;2.006646e+00;1.496675e+00
2.504713864350211e-05;2.009428e+00;3.503987e+00;2.007975e+00;1.496012e+00
2.506607704486573e-05;2.013215e+00;3.505988e+00;2.011978e+00;1.494010e+00
2.507686309440075e-05;2.015373e+00;3.507138e+00;2.014280e+00;1.492857e+00
2.508925848320304e-05;2.017852e+00;3.508432e+00;2.016875e+00;1.491557e+00
2.510262185346912e-05;2.020524e+00;3.509806e+00;2.019628e+00;1.490178e+00
2.511842800247280e-05;2.023686e+00;3.511419e+00;2.022860e+00;1.488559e+00
2.513750752267433e-05;2.027502e+00;3.513354e+00;2.026734e+00;1.486620e+00
2.517027646956736e-05;2.034055e+00;3.516656e+00;2.033342e+00;1.483313e+00
2.521124045149449e-05;2.042248e+00;3.520767e+00;2.041568e+00;1.479199e+00
2.525155335406202e-05;2.050311e+00;3.524804e+00;2.049644e+00;1.475160e+00
2.546905446722546e-05;2.093811e+00;3.546554e+00;2.093149e+00;1.453404e+00
2.568655558038891e-05;2.137311e+00;3.568303e+00;2.136653e+00;1.431650e+00
2.590405669355236e-05;2.180811e+00;3.590052e+00;2.180156e+00;1.409896e+00
2.612155780671581e-05;2.224311e+00;3.611801e+00;2.223658e+00;1.388143e+00
2.633905891987926e-05;2.267812e+00;3.633550e+00;2.267159e+00;1.366391e+00
2.655656003304270e-05;2.311312e+00;3.655298e+00;2.310658e+00;1.344640e+00
2.677406114620615e-05;2.354812e+00;3.677047e+00;2.354157e+00;1.322889e+00
3.000000000000004e-05;3.000000e+00;3.999648e+00;2.999336e+00;1.000312e+00
3.000026574816604e-05;2.999947e+00;3.999674e+00;2.999390e+00;1.000284e+00
3.000079724449805e-05;2.999840e+00;3.999727e+00;2.999499e+00;1.000227e+00
3.000186023716205e-05;2.999628e+00;3.999829e+00;2.999714e+00;1.000115e+00
3.000349438939735e-05;2.999301e+00;3.999974e+00;3.000019e+00;9.999552e-01
3.000543420721141e-05;2.998913e+00;4.000114e+00;3.000316e+00;9.997983e-01
3.000753512570833e-05;2.998493e+00;4.000206e+00;3.000516e+00;9.996898e-01
3.000995866656841e-05;2.998008e+00;4.000217e+00;3.000558e+00;9.996598e-01
3.001240078572614e-05;2.997520e+00;4.000116e+00;3.000372e+00;9.997439e-01
3.001563360871322e-05;2.996873e+00;3.999829e+00;2.999818e+00;1.000011e+00
3.001958202109955e-05;2.996083e+00;3.999325e+00;2.998831e+00;1.000494e+00
3.002484628156391e-05;2.995031e+00;3.998543e+00;2.997287e+00;1.001256e+00
3.002908377280395e-05;2.994183e+00;3.997910e+00;2.996035e+00;1.001875e+00
3.003307011055104e-05;2.993386e+00;3.997362e+00;2.994945e+00;1.002416e+00
3.003637018998215e-05;2.992726e+00;3.996955e+00;2.994137e+00;1.002819e+00
3.004022482280379e-05;2.991955e+00;3.996525e+00;2.993279e+00;1.003246e+00
3.004391509622432e-05;2.991217e+00;3.996137e+00;2.992505e+00;1.003632e+00
3.007120497816894e-05;2.985759e+00;3.993254e+00;2.986742e+00;1.006513e+00
3.008174083242677e-05;2.983652e+00;3.992143e+00;2.984516e+00;1.007627e+00
3.009427205697909e-05;2.981146e+00;3.990845e+00;2.981919e+00;1.008927e+00
3.011218792850054e-05;2.977562e+00;3.989011e+00;2.978246e+00;1.010765e+00
